Title,Status,# Rooms,Area,# Car Spots,Condominium Fee,City,Neighborhood,Price,Description,URL
0,House_AD,For rent,3,86m²,2,R$ 0,Recife,Boa Viagem,R$ 4.000.,"House in Boa Viagem, Recife",https://pe.olx.com.br/grande-recife/imoveis/apto-mobiliado-com-vista-para-o-mar-1012413732
1,House_AD,,,600m²,,R$ 0,Camaragibe,Aldeia dos Camarás,R$ 220.000.,"House in Aldeia dos Camarás, Camaragibe",https://pe.olx.com.br/grande-recife/terrenos/terreno-a-venda-600-m-por-r-220-000-00-aldeia-camaragibe-pe-1003693406
2,House_AD,For sale,3,97m²,2,,Recife,Dois Irmãos,R$ 777.000.,"House in Dois Irmãos, Recife",https://pe.olx.com.br/grande-recife/imoveis/vmj-lindo-apartamento-com-vista-da-real-da-torre-3-quartos-97m-madalena-911809152
3,House_AD,For sale,4,134m²,3,R$ 655,Jaboatão dos Guararapes,Candeias,R$ 940.000.,"House in Candeias, Jaboatão dos Guararapes",https://pe.olx.com.br/grande-recife/imoveis/apartamento-para-venda-possui-134m-com-4-quartos-em-candeias-922209466
4,House_AD,For sale,4,124m²,2,R$ 0,Recife,Graças,R$ 1.080.980.,"House in Graças, Recife",https://pe.olx.com.br/grande-recife/imoveis/apartamento-para-venda-com-124-metros-quadrados-com-4-quartos-em-gracas-recife-pe-978549555
5,House_AD,For rent,2,50m²,,R$ 150,Jaboatão dos Guararapes,Candeias,R$ 750.,"House in Candeias, Jaboatão dos Guararapes",https://pe.olx.com.br/grande-recife/imoveis/apartamento-no-residencial-renascenca-candeias-996009717
6,House_AD,For rent,5,227m²,3,,Recife,Boa Vista,R$ 13.000.,"House in Boa Vista, Recife",https://pe.olx.com.br/grande-recife/imoveis/casa-coml-alugo-r-das-fronteiras-excelente-para-clinica-al-13-000-00-iptu-941723875
7,House_AD,For sale,3,100m²,,R$ 670,Jaboatão dos Guararapes,Piedade,R$ 340.000.,"House in Piedade, Jaboatão dos Guararapes",https://pe.olx.com.br/grande-recife/imoveis/apartamento-para-venda-com-100-metros-quadrados-com-3-quartos-1012824598
8,House_AD,For sale,,34m²,,R$ 0,Olinda,Casa Caiada,R$ 199.000.,"House in Casa Caiada, Olinda",https://pe.olx.com.br/grande-recife/imoveis/more-em-olinda-a-poucos-metros-da-praia-900121635
9,House_AD,For sale,2,50m²,,R$ 435,Recife,Boa Viagem,R$ 350.000.,"House in Boa Viagem, Recife",https://pe.olx.com.br/grande-recife/imoveis/oportunidade-no-melhor-de-boa-viagem-ao-lado-do-shopping-recife-e-faculdade-mauricio-de-n-903407128
