Status,# Rooms,Area (m²),# Car Spots,Condominium Fee (BRL),City,Neighborhood,Price (BRL)
0,For rent,3.0,86.0,2.0,0.0,Recife,Boa Viagem,4000.0
1,,,600.0,,0.0,Camaragibe,Aldeia dos Camarás,220000.0
2,For sale,3.0,97.0,2.0,,Recife,Dois Irmãos,777000.0
3,For sale,4.0,134.0,3.0,655.0,Jaboatão dos Guararapes,Candeias,940000.0
4,For sale,4.0,124.0,2.0,0.0,Recife,Graças,1080980.0
5,For rent,2.0,50.0,,150.0,Jaboatão dos Guararapes,Candeias,750.0
6,For rent,5.0,227.0,3.0,,Recife,Boa Vista,13000.0
7,For sale,3.0,100.0,,670.0,Jaboatão dos Guararapes,Piedade,340000.0
8,For sale,,34.0,,0.0,Olinda,Casa Caiada,199000.0
9,For sale,2.0,50.0,,435.0,Recife,Boa Viagem,350000.0
10,For sale,2.0,50.0,,250.0,São Lourenço da Mata,Capibaribe,85000.0
11,,,300.0,,,Igarassu,Cruz do Rebouças,720000.0
12,For sale,4.0,380.0,2.0,2000.0,Jaboatão dos Guararapes,Candeias,1500000.0
13,For sale,4.0,203.0,3.0,1100.0,Recife,Madalena,2099000.0
14,For sale,4.0,249.0,4.0,,Jaboatão dos Guararapes,Candeias,870000.0
15,For sale,3.0,66.0,,0.0,Jaboatão dos Guararapes,Candeias,414000.0
16,For sale,,35.0,,700.0,Recife,Jaqueira,260000.0
17,For sale,,37.0,,696.0,Jaboatão dos Guararapes,Barra de Jangada,210000.0
18,For sale,2.0,54.0,,400.0,Recife,Boa Viagem,549000.0
19,For sale,3.0,70.0,2.0,,Recife,Caxangá,496124.0
20,For sale,2.0,50.0,,0.0,Igarassu,Agamenon Magalhães,50000.0
21,For sale,4.0,127.0,2.0,900.0,Recife,Boa Viagem,490000.0
22,,,215.0,,2875.0,Recife,Ilha do Leite,11000.0
23,,,4784.0,,0.0,Recife,Santo Amaro,5000000.0
24,,,360.0,,0.0,Gravatá,Alpes Suiços,60000.0
25,For sale,4.0,171.0,3.0,1700.0,Recife,Monteiro,1499000.0
26,For rent,3.0,63.0,,,Recife,Cordeiro,2500.0
27,For sale,4.0,10.0,4.0,0.0,Recife,Casa Forte,1430000.0
28,For sale,2.0,53.0,,0.0,Recife,Imbiribeira,269000.0
29,For sale,,40.0,,,Jaboatão dos Guararapes,Barra de Jangada,270000.0
30,For rent,2.0,60.0,,400.0,Recife,Boa Viagem,950.0
31,For sale,3.0,123.0,3.0,1100.0,Recife,Casa Amarela,790000.0
32,For rent,5.0,508.0,5.0,,Recife,Santo Amaro,10000.0
33,For sale,3.0,192.0,3.0,1500.0,Recife,Poço,1549900.0
34,For rent,5.0,345.0,5.0,,Jaboatão dos Guararapes,Piedade,12000.0
35,For sale,,48.0,,996.0,Recife,Boa Viagem,249999.0
36,For sale,4.0,163.0,2.0,1470.0,Recife,Boa Viagem,650000.0
37,For sale,3.0,90.0,2.0,0.0,Recife,Várzea,240000.0
38,For sale,3.0,107.0,,600.0,Recife,Campo Grande,299900.0
39,For sale,2.0,138.0,2.0,1050.0,Recife,Boa Viagem,680000.0
40,For rent,4.0,145.0,2.0,1000.0,Recife,Aflitos,3500.0
41,For sale,,,,,Recife,Boa Viagem,349000.0
42,For sale,4.0,247.0,3.0,1400.0,Recife,São José,2100000.0
43,,,22.0,,0.0,Recife,Espinheiro,1550.0
44,For sale,3.0,167.0,2.0,1100.0,Recife,Boa Viagem,1150000.0
45,For sale,3.0,105.0,,160.0,Olinda,Bairro Novo,230000.0
46,For sale,3.0,105.0,,160.0,Olinda,Bairro Novo,230000.0
47,For sale,4.0,110.0,4.0,1090.0,Gravatá,Santana,260000.0
48,For sale,3.0,160.0,4.0,306.0,Gravatá,Alpes Suiços,498000.0
49,For sale,2.0,72.0,,,Santa Cruz do Capibaribe,Bela Vista,90000.0
50,,,360.0,,,Jaboatão dos Guararapes,Prazeres,
51,For sale,2.0,100.0,,120.0,Recife,San Martin,290000.0
52,For sale,3.0,62.0,,0.0,Jaboatão dos Guararapes,Candeias,65000.0
53,For sale,2.0,45.0,,165.0,Paulista,Janga,120000.0
54,For sale,2.0,67.0,,0.0,Caruaru,Maurício de Nassau,300000.0
55,For rent,2.0,,,,Camaragibe,Santa Mônica,700.0
56,For sale,3.0,67.0,,1.0,Recife,Torre,455000.0
57,,,40.0,,150.0,Recife,Iputinga,150000.0
58,For sale,3.0,83.0,2.0,550.0,Recife,Boa Viagem,700000.0
59,For sale,3.0,130.0,5.0,,Jaboatão dos Guararapes,Piedade,450000.0
60,For sale,3.0,71.0,,1.0,Recife,Várzea,392800.0
61,For sale,3.0,57.0,,,Recife,Encruzilhada,309999.0
62,For sale,5.0,330.0,4.0,400.0,Cabo de Santo Agostinho,Garapu,290000.0
63,,,20.0,,470.0,Recife,Boa Viagem,130000.0
64,For sale,4.0,234.0,3.0,1460.0,Recife,Monteiro,1790000.0
65,For sale,3.0,98.0,2.0,1150.0,Recife,Madalena,530000.0
66,For sale,4.0,210.0,3.0,0.0,Paulista,Nossa Senhora do Ó,700000.0
67,For sale,,30.0,,0.0,Recife,Boa Viagem,235000.0
68,For sale,3.0,64.0,,420.0,Recife,Barro,345000.0
69,For rent,4.0,184.0,3.0,0.0,Recife,Boa Viagem,12000.0
70,For sale,,35.0,,527.0,Recife,Madalena,249000.0
71,For sale,4.0,300.0,4.0,0.0,Camaragibe,Aldeia dos Camarás,780000.0
72,For rent,3.0,98.0,,0.0,Olinda,Bairro Novo,1400.0
73,For sale,3.0,100.0,2.0,1200.0,Recife,Madalena,700000.0
74,For sale,3.0,62.0,,348.0,Recife,Barro,255000.0
75,For rent,,32.0,,,Recife,Casa Forte,2000.0
76,For rent,2.0,52.0,,,Recife,Ilha do Leite,3300.0
77,For sale,3.0,70.0,,400.0,Olinda,Casa Caiada,220000.0
78,For sale,3.0,71.0,,,Recife,Várzea,409244.0
79,For sale,3.0,82.0,2.0,,Recife,Torrões,380000.0
80,For sale,4.0,77.0,,20.0,Paulista,Janga,100000.0
81,For sale,5.0,312.0,4.0,2500.0,Recife,Jaqueira,4400000.0
82,For sale,4.0,401.0,5.0,2500.0,Recife,Boa Viagem,7900000.0
83,For sale,2.0,60.0,,230.0,Jaboatão dos Guararapes,Candeias,160000.0
84,For sale,3.0,66.0,,0.0,Jaboatão dos Guararapes,Candeias,440000.0
85,,,,,0.0,Jaboatão dos Guararapes,Candeias,1000000.0
86,For sale,3.0,121.0,2.0,,Recife,Boa Viagem,650000.0
87,For sale,3.0,126.0,,0.0,Recife,Graças,400000.0
88,For sale,4.0,180.0,2.0,1400.0,Recife,Boa Viagem,1300000.0
89,,,580.0,,0.0,Recife,Santo Amaro,1400000.0
90,For sale,4.0,162.0,3.0,920.0,Recife,Boa Viagem,1460000.0
91,For sale,5.0,225.0,2.0,1737.0,Olinda,Casa Caiada,300000.0
92,,,330.0,,0.0,Recife,Imbiribeira,14000.0
93,For sale,2.0,43.0,,500.0,Recife,Torre,340000.0
94,For sale,3.0,79.0,,650.0,Recife,Madalena,375000.0
95,For rent,2.0,47.0,,,Recife,Boa Viagem,1600.0
96,For sale,3.0,68.0,,560.0,Recife,Boa Viagem,360000.0
97,For sale,5.0,300.0,,0.0,Olinda,Bairro Novo,690000.0
98,For sale,3.0,69.0,,180.0,Olinda,Jardim Atlântico,280000.0
99,For sale,3.0,82.0,2.0,700.0,Recife,Boa Viagem,700000.0
100,For sale,2.0,46.0,,,Jaboatão dos Guararapes,Dois Carneiros,150000.0
101,For sale,4.0,10.0,5.0,0.0,Recife,Encruzilhada,2100000.0
102,For sale,3.0,96.0,,900.0,Recife,Boa Viagem,470000.0
103,For sale,3.0,105.0,2.0,900.0,Recife,Boa Viagem,800000.0
104,For sale,4.0,139.0,2.0,0.0,Recife,Monteiro,1458000.0
105,For sale,2.0,60.0,,0.0,Recife,Zumbi,70000.0
106,For sale,2.0,55.0,,,Recife,Várzea,289782.0
107,For sale,3.0,78.0,,660.0,Recife,Casa Forte,360000.0
108,For sale,2.0,44.0,,120.0,Gravatá,Nossa Senhora das Graças,180000.0
109,For sale,2.0,58.0,,480.0,Recife,Imbiribeira,280000.0
110,For sale,4.0,300.0,3.0,2400.0,Recife,Pina,3500000.0
111,For rent,,40.0,,0.0,Jaboatão dos Guararapes,Piedade,1600.0
112,For sale,4.0,171.0,3.0,1000.0,Recife,Parnamirim,1700000.0
113,For sale,4.0,150.0,5.0,1250.0,Jaboatão dos Guararapes,Piedade,920000.0
114,For sale,3.0,230.0,3.0,0.0,Paulista,Maria Farinha,680000.0
115,For sale,2.0,60.0,,0.0,Igarassu,Monjope,139000.0
116,For sale,2.0,49.0,,0.0,Olinda,Peixinhos,200000.0
117,For sale,2.0,48.0,,0.0,Abreu e Lima,Planalto,126000.0
118,For sale,2.0,50.0,,0.0,Igarassu,Centro,150000.0
119,For sale,2.0,60.0,,0.0,Igarassu,Cruz do Rebouças,150000.0
120,For sale,3.0,78.0,,840.0,Recife,Prado,260000.0
121,For sale,2.0,10.0,,0.0,Olinda,Fragoso,180000.0
122,For rent,3.0,72.0,,200.0,Olinda,Jardim Atlântico,900.0
123,For rent,,,,,Olinda,Bairro Novo,1499.0
124,For sale,3.0,113.0,2.0,1125.0,Cabo de Santo Agostinho,Paiva,970000.0
125,,,442.0,,800.0,Cabo de Santo Agostinho,Paiva,850000.0
126,For sale,4.0,167.0,2.0,0.0,Recife,Boa Viagem,500000.0
127,For sale,4.0,195.0,2.0,1400.0,Recife,Boa Viagem,1200000.0
128,For sale,3.0,220.0,3.0,1930.0,Recife,Boa Viagem,2700000.0
129,,,39.0,,0.0,Recife,Pina,5000.0
130,For sale,3.0,85.0,2.0,950.0,Recife,Casa Amarela,534000.0
131,For sale,3.0,65.0,,450.0,Jaboatão dos Guararapes,Candeias,320000.0
132,For sale,2.0,47.0,,465.0,Recife,Boa Viagem,350000.0
133,,,400.0,,0.0,Recife,Imbiribeira,6000.0
134,,,5000.0,,0.0,Recife,Ibura,90000.0
135,For sale,3.0,65.0,5.0,0.0,Recife,Boa Viagem,480000.0
136,,,400.0,,0.0,Recife,Imbiribeira,6000.0
137,,,5000.0,,0.0,Recife,Ibura,90000.0
138,For sale,3.0,65.0,5.0,0.0,Recife,Boa Viagem,480000.0
139,For rent,3.0,61.0,,0.0,Recife,Casa Amarela,2500.0
140,For sale,4.0,291.0,3.0,0.0,Recife,Boa Viagem,700000.0
141,For rent,4.0,183.0,3.0,0.0,Cabo de Santo Agostinho,Paiva,8990.0
142,For sale,4.0,365.0,4.0,0.0,Cabo de Santo Agostinho,Paiva,2300000.0
143,For sale,2.0,45.0,,,Recife,Encruzilhada,289159.0
144,For sale,4.0,690.0,5.0,,Jaboatão dos Guararapes,Curado,2800000.0
145,,,38.0,,444.0,Recife,Espinheiro,300000.0
146,For sale,3.0,180.0,2.0,,Recife,Monteiro,1750000.0
147,For sale,3.0,66.0,,0.0,Jaboatão dos Guararapes,Barra de Jangada,350000.0
148,For rent,3.0,80.0,2.0,0.0,Recife,Boa Viagem,1600.0
149,,,780.0,,0.0,Recife,Passarinho,2500000.0
